Metrohm Autolab B.V.
Nova 2.1 export

WE(1).Potential (V);WE(1).Current (A);Scan
-0.2000;1.312827e-08;1
-0.1800;1.994420e-07;1
-0.1600;2.222227e-07;1
-0.1400;2.153110e-07;1
-0.1200;2.481395e-07;1
-0.1000;2.224051e-07;1
-0.0800;2.130893e-07;1
-0.0600;4.918905e-08;1
-0.0400;1.458473e-07;1
-0.0200;2.494906e-08;1
0.0000;2.947174e-07;1
0.0200;3.607855e-07;1
0.0400;5.400601e-07;1
0.0600;9.258847e-07;1
0.0800;1.654711e-06;1
0.1000;2.773762e-06;1
0.1200;3.679577e-06;1
0.1400;4.116134e-06;1
0.1600;4.223837e-06;1
0.1800;3.414044e-06;1
0.2000;2.471313e-06;1
0.2200;1.662604e-06;1
0.2400;9.215983e-07;1
0.2600;5.109534e-07;1
0.2800;3.512410e-07;1
0.3000;4.864291e-07;1
0.3200;1.594885e-07;1
0.3400;2.068962e-07;1
0.3600;2.226939e-07;1
0.3800;1.973574e-07;1
0.4000;2.744874e-07;1
0.4200;3.420391e-07;1
0.4400;1.005137e-07;1
0.4600;2.129386e-07;1
0.4800;1.788019e-07;1
0.5000;2.285024e-07;1
0.4800;7.746377e-08;1
0.4600;5.936460e-08;1
0.4400;1.467155e-08;1
0.4200;2.420282e-07;1
0.4000;2.153747e-07;1
0.3800;2.059929e-07;1
0.3600;1.126197e-08;1
0.3400;1.730412e-07;1
0.3200;1.519379e-07;1
0.3000;1.313389e-07;1
0.2800;2.629470e-07;1
0.2600;6.115026e-07;1
0.2400;1.035127e-06;1
0.2200;1.699431e-06;1
0.2000;2.667273e-06;1
0.1800;3.492804e-06;1
0.1600;4.126489e-06;1
0.1400;4.124017e-06;1
0.1200;3.585433e-06;1
0.1000;2.620525e-06;1
0.0800;1.689792e-06;1
0.0600;9.808177e-07;1
0.0400;5.040920e-07;1
0.0200;5.148761e-07;1
0.0000;2.855725e-07;1
-0.0200;2.466680e-07;1
-0.0400;3.862569e-07;1
-0.0600;3.128317e-07;1
-0.0800;7.558005e-08;1
-0.1000;2.556417e-07;1
-0.1200;2.670394e-07;1
-0.1400;3.507930e-07;1
-0.1600;3.052551e-07;1
-0.1800;2.616508e-07;1
-0.2000;1.058227e-07;1
