Metrohm Autolab B.V.
Nova 2.1 export

WE(1).Potential (V);WE(1).Current (A);Scan
-0.4000;1.319069e-07;1
-0.3800;1.555946e-07;1
-0.3600;2.389056e-07;1
-0.3400;1.952798e-07;1
-0.3200;1.863562e-07;1
-0.3000;2.083707e-07;1
-0.2800;1.853342e-07;1
-0.2600;1.812138e-07;1
-0.2400;2.035330e-07;1
-0.2200;2.049783e-07;1
-0.2000;2.523311e-07;1
-0.1800;2.016023e-07;1
-0.1600;2.650221e-07;1
-0.1400;2.630359e-07;1
-0.1200;2.627758e-07;1
-0.1000;2.493957e-07;1
-0.0800;2.436585e-07;1
-0.0600;3.069942e-07;1
-0.0400;4.226652e-07;1
-0.0200;6.063842e-07;1
0.0000;8.952181e-07;1
0.0200;1.138453e-06;1
0.0400;1.383803e-06;1
0.0600;1.345665e-06;1
0.0800;1.145156e-06;1
0.1000;8.314223e-07;1
0.1200;6.297681e-07;1
0.1400;4.132228e-07;1
0.1600;2.647988e-07;1
0.1800;1.999479e-07;1
0.2000;1.351468e-07;1
0.2200;2.231825e-07;1
0.2400;1.985748e-07;1
0.2600;2.892157e-07;1
0.2800;1.989604e-07;1
0.3000;1.948902e-07;1
0.3200;2.498249e-07;1
0.3400;2.046244e-07;1
0.3600;2.057730e-07;1
0.3800;1.871806e-07;1
0.4000;1.791184e-07;1
