CHI Electrochemical Workstation
File: cv_il6_010pM_r02.bin
Data Source: CHI600E Electrochemical Analyzer
Instrument Model: CHI600E

Cyclic Voltammetry
Sample ID = IL-6 dilution series
Analyte = interleukin-6
Concentration (M) = 1e-11

Init E (V) = -0.5
High E (V) = 0.5
Low E (V) = -0.5
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 2
Sample Interval (V) = 0.02
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-05

Potential/V, Current/A

-0.5000,1.597128e-07
-0.4800,1.261555e-07
-0.4600,1.053046e-07
-0.4400,1.376873e-07
-0.4200,1.255670e-07
-0.4000,1.133080e-07
-0.3800,1.461740e-07
-0.3600,1.337947e-07
-0.3400,1.534794e-07
-0.3200,1.672689e-07
-0.3000,1.363710e-07
-0.2800,2.267018e-07
-0.2600,1.393912e-07
-0.2400,1.863565e-07
-0.2200,1.540155e-07
-0.2000,1.868373e-07
-0.1800,7.161511e-08
-0.1600,1.252933e-07
-0.1400,1.585213e-07
-0.1200,1.712056e-07
-0.1000,2.313578e-07
-0.0800,1.728637e-07
-0.0600,2.236568e-07
-0.0400,2.475939e-07
-0.0200,3.301322e-07
0.0000,4.411195e-07
0.0200,5.970731e-07
0.0400,8.339849e-07
0.0600,9.952328e-07
0.0800,1.229540e-06
0.1000,1.216432e-06
0.1200,1.198779e-06
0.1400,1.100797e-06
0.1600,8.098109e-07
0.1800,6.028672e-07
0.2000,4.626678e-07
0.2200,2.997348e-07
0.2400,1.956492e-07
0.2600,1.899413e-07
0.2800,1.814300e-07
0.3000,1.776848e-07
0.3200,1.258313e-07
0.3400,2.082017e-07
0.3600,2.050956e-07
0.3800,1.506224e-07
0.4000,1.588677e-07
0.4200,1.358600e-07
0.4400,1.966664e-07
0.4600,1.267367e-07
0.4800,1.722452e-07
0.5000,1.341701e-07
0.4800,1.270979e-07
0.4600,1.737160e-07
0.4400,1.940162e-07
0.4200,1.496668e-07
0.4000,1.276489e-07
0.3800,1.767995e-07
0.3600,1.484582e-07
0.3400,1.606199e-07
0.3200,2.015789e-07
0.3000,1.915961e-07
0.2800,1.450653e-07
0.2600,2.567802e-07
0.2400,2.224114e-07
0.2200,3.248056e-07
0.2000,4.029246e-07
0.1800,6.007497e-07
0.1600,7.594341e-07
0.1400,1.089771e-06
0.1200,1.235625e-06
0.1000,1.209895e-06
0.0800,1.140884e-06
0.0600,9.773161e-07
0.0400,8.559837e-07
0.0200,5.870584e-07
0.0000,4.222898e-07
-0.0200,2.885477e-07
-0.0400,2.183032e-07
-0.0600,1.455123e-07
-0.0800,1.630155e-07
-0.1000,1.067987e-07
-0.1200,1.489655e-07
-0.1400,1.605577e-07
-0.1600,1.655231e-07
-0.1800,1.423738e-07
-0.2000,1.201816e-07
-0.2200,1.552666e-07
-0.2400,1.340069e-07
-0.2600,2.016726e-07
-0.2800,1.753348e-07
-0.3000,1.461986e-07
-0.3200,1.344522e-07
-0.3400,1.268115e-07
-0.3600,1.190716e-07
-0.3800,1.383527e-07
-0.4000,1.597274e-07
-0.4200,1.670123e-07
-0.4400,1.687723e-07
-0.4600,2.192565e-07
-0.4800,1.267398e-07
-0.5000,1.504274e-07
