Metrohm Autolab B.V.
Nova 2.1 export

WE(1).Potential (V);WE(1).Current (A);Scan
-0.2000;1.060208e-07;1
-0.1800;2.497594e-07;1
-0.1600;2.673554e-07;1
-0.1400;4.695989e-08;1
-0.1200;3.461018e-07;1
-0.1000;2.397827e-07;1
-0.0800;2.609221e-07;1
-0.0600;5.178430e-08;1
-0.0400;1.453494e-07;1
-0.0200;1.844128e-07;1
0.0000;3.306037e-07;1
0.0200;2.194245e-07;1
0.0400;4.849807e-07;1
0.0600;8.292154e-07;1
0.0800;1.681960e-06;1
0.1000;2.653800e-06;1
0.1200;3.406183e-06;1
0.1400;4.073494e-06;1
0.1600;4.161626e-06;1
0.1800;3.667914e-06;1
0.2000;2.679247e-06;1
0.2200;1.676945e-06;1
0.2400;8.973619e-07;1
0.2600;4.807749e-07;1
0.2800;2.830518e-07;1
0.3000;2.562006e-07;1
0.3200;2.083862e-07;1
0.3400;3.362951e-07;1
0.3600;2.235660e-07;1
0.3800;1.143542e-07;1
0.4000;3.235628e-07;1
0.4200;2.759269e-07;1
0.4400;2.080869e-07;1
0.4600;1.423128e-07;1
0.4800;5.033849e-08;1
0.5000;1.182237e-07;1
0.4800;2.729357e-07;1
0.4600;1.357751e-07;1
0.4400;9.442203e-08;1
0.4200;2.156468e-07;1
0.4000;2.195217e-07;1
0.3800;2.486129e-07;1
0.3600;2.530349e-07;1
0.3400;3.156480e-07;1
0.3200;1.452096e-07;1
0.3000;3.227279e-07;1
0.2800;2.572051e-07;1
0.2600;6.112043e-07;1
0.2400;1.005920e-06;1
0.2200;1.720705e-06;1
0.2000;2.703547e-06;1
0.1800;3.539690e-06;1
0.1600;4.209776e-06;1
0.1400;4.190823e-06;1
0.1200;3.551920e-06;1
0.1000;2.580782e-06;1
0.0800;1.640966e-06;1
0.0600;9.493932e-07;1
0.0400;5.394974e-07;1
0.0200;3.342008e-07;1
0.0000;4.829029e-07;1
-0.0200;2.634275e-07;1
-0.0400;2.644624e-07;1
-0.0600;1.317427e-07;1
-0.0800;1.432667e-07;1
-0.1000;1.744887e-07;1
-0.1200;2.153747e-07;1
-0.1400;1.171258e-07;1
-0.1600;3.289549e-07;1
-0.1800;1.549413e-07;1
-0.2000;2.862640e-07;1
