CHI Electrochemical Workstation
File: cv_il6_005pM_r02.bin
Data Source: CHI600E Electrochemical Analyzer
Instrument Model: CHI600E

Cyclic Voltammetry

Init E (V) = -0.5
High E (V) = 0.5
Low E (V) = -0.5
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 2
Sample Interval (V) = 0.02
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-05

Potential/V, Current/A

-0.5000,1.408446e-07
-0.4800,1.878358e-07
-0.4600,1.157164e-07
-0.4400,1.591427e-07
-0.4200,1.972625e-07
-0.4000,1.319118e-07
-0.3800,1.634470e-07
-0.3600,1.867844e-07
-0.3400,1.476559e-07
-0.3200,1.609433e-07
-0.3000,1.676002e-07
-0.2800,1.323375e-07
-0.2600,1.482626e-07
-0.2400,1.557097e-07
-0.2200,1.660954e-07
-0.2000,1.493290e-07
-0.1800,1.462030e-07
-0.1600,1.302409e-07
-0.1400,1.432180e-07
-0.1200,1.681701e-07
-0.1000,1.544968e-07
-0.0800,1.405868e-07
-0.0600,1.521563e-07
-0.0400,2.447238e-07
-0.0200,2.601959e-07
0.0000,3.245081e-07
0.0200,3.666611e-07
0.0400,5.563638e-07
0.0600,6.798528e-07
0.0800,7.977135e-07
0.1000,8.083413e-07
0.1200,7.635576e-07
0.1400,6.806670e-07
0.1600,5.063329e-07
0.1800,4.373714e-07
0.2000,3.184142e-07
0.2200,2.242775e-07
0.2400,2.185722e-07
0.2600,2.038497e-07
0.2800,1.298740e-07
0.3000,1.395193e-07
0.3200,1.564622e-07
0.3400,1.537956e-07
0.3600,1.422840e-07
0.3800,1.310150e-07
0.4000,1.913515e-07
0.4200,1.702295e-07
0.4400,1.267126e-07
0.4600,1.237724e-07
0.4800,1.832110e-07
0.5000,1.692884e-07
0.4800,1.855089e-07
0.4600,1.657978e-07
0.4400,1.329946e-07
0.4200,1.550834e-07
0.4000,1.078812e-07
0.3800,1.354238e-07
0.3600,1.489056e-07
0.3400,1.604118e-07
0.3200,1.365953e-07
0.3000,1.500905e-07
0.2800,1.661625e-07
0.2600,1.759130e-07
0.2400,2.051645e-07
0.2200,2.420431e-07
0.2000,3.057622e-07
0.1800,4.326115e-07
0.1600,5.452074e-07
0.1400,6.543704e-07
0.1200,7.526681e-07
0.1000,7.999932e-07
0.0800,7.627364e-07
0.0600,6.735407e-07
0.0400,5.442353e-07
0.0200,4.206524e-07
0.0000,3.094603e-07
-0.0200,2.134285e-07
-0.0400,2.009399e-07
-0.0600,1.891145e-07
-0.0800,1.656964e-07
-0.1000,1.488226e-07
-0.1200,1.594882e-07
-0.1400,1.313869e-07
-0.1600,1.130794e-07
-0.1800,1.511738e-07
-0.2000,1.318577e-07
-0.2200,1.644277e-07
-0.2400,1.288603e-07
-0.2600,9.874404e-08
-0.2800,1.297293e-07
-0.3000,1.807729e-07
-0.3200,1.425548e-07
-0.3400,1.232964e-07
-0.3600,1.351146e-07
-0.3800,1.601575e-07
-0.4000,1.596889e-07
-0.4200,1.534462e-07
-0.4400,1.789354e-07
-0.4600,1.637768e-07
-0.4800,1.495909e-07
-0.5000,1.616350e-07
